date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-05-22,10.5,10.4,10.5,10.4,0.1,1,15000,2,156500
2017-05-23,10.6,10.4,10.6,10.4,0.0,0,10000,5,104400
2017-05-24,10.7,10.8,10.8,10.7,0.4,1,45000,7,485300
2017-05-25,11.4,10.9,11.4,10.9,0.1,1,94000,14,1054400
2017-05-26,10.6,10.5,10.6,10.4,-0.4,-1,75000,19,785300
2017-05-31,10.7,10.4,10.7,10.4,-0.1,-1,2000,2,21100
2017-06-01,10.5,10.8,10.8,10.5,0.4,1,42000,5,448200
2017-06-02,10.9,10.7,10.9,10.6,-0.1,-1,25000,5,269100
2017-06-03,10.7,10.6,10.7,10.6,-0.1,-1,18000,7,191100
2017-06-05,10.6,10.3,10.6,10.3,-0.3,-1,52000,8,541300
2017-06-06,10.4,10.4,10.4,10.4,0.1,1,16000,3,166400
2017-06-07,10.4,10.2,10.4,10.2,-0.2,-1,22000,4,226900
2017-06-08,10.2,10.3,10.3,10.2,0.1,1,96000,4,985700
2017-06-09,10.0,9.65,10.0,9.65,-0.65,-1,77000,13,756950
2017-06-12,9.3,9.2,9.35,9.2,-0.45,-1,68000,16,629700
2017-06-13,9.15,9.2,9.35,9.15,0.0,0,108000,12,997500
